scenario,step,G_gas,y_CO2,rl_capture,rl_energy,rl_L,rl_alpha,rl_T,rl_Tic,rl_flood,pid_capture,pid_energy,pid_L,pid_alpha,pid_T,pid_flood
1,0,0.8,0.13,97.25104522705078,3.9945781230926514,4.977251467605432,0.2690648206472397,39.90781223401427,38.0241399789229,0.5032481590375082,98.41991424560547,3.851198673248291,4.0,0.252,35.0,0.4830108813375575
1,1,0.8,0.13,97.32748413085938,3.9850924015045166,4.918801313473119,0.26761670668125154,39.79623271152377,38.053445886587724,0.5021811098749103,99.14166259765625,3.7714290618896484,3.3333333333333335,0.2376,32.5,0.47074842424788127
1,2,0.8,0.13,97.39171600341797,3.9735147953033447,4.836782968430607,0.2657548694348335,39.671117486432195,38.08181542827515,0.5007202071707147,99.43328094482422,3.7265236377716064,2.888888888888889,0.22608,31.25,0.4632523238081957
1,3,0.8,0.13,97.46240997314453,3.959228754043579,4.7406078470341955,0.2636971450476646,39.54920329619199,38.11072512985265,0.49904037970009035,99.58737182617188,3.695131540298462,2.5925925925925926,0.216864,30.625,0.4585664102112321
1,4,0.8,0.13,97.5304183959961,3.943962335586548,4.64150425328762,0.2615080289744377,39.43251038203016,38.143913972115115,0.4973296694222474,99.58110809326172,3.6696174144744873,2.3950617283950617,0.2094912,30.3125,0.45558980957646045
1,5,0.8,0.13,97.60647583007812,3.9294517040252686,4.543268337242806,0.259250892536087,39.32299048756249,38.181822089421075,0.495651449924544,99.5141830444336,3.6526055335998535,2.263374485596708,0.20359296,30.15625,0.45367712690298434
1,6,0.8,0.13,97.68434143066406,3.9156832695007324,4.447606031691369,0.2569348471055374,39.21769609267358,38.222439281832294,0.49402967337294657,99.40723419189453,3.65507173538208,2.1755829903978054,0.198874368,30.078125,0.4524380156942096
1,7,0.8,0.13,97.77871704101562,3.902865171432495,4.353688563469606,0.25456815649588466,39.11439317074837,38.262896729542774,0.4924479927739808,98.77847290039062,3.6440906524658203,2.11705532693187,0.1950994944,30.0390625,0.4516307106993387
1,8,0.8,0.13,97.8690185546875,3.8903958797454834,4.260553404234222,0.252153826451457,39.01128366953344,38.30120593186204,0.4908887940033472,98.12769317626953,3.6343321800231934,2.078036884621247,0.19207959551999998,30.01953125,0.451102752400465
1,9,0.8,0.13,97.93854522705078,3.8795764446258545,4.167257090106522,0.2497027021814636,38.907955295362626,38.336924401352064,0.48933643945211963,97.7346420288086,3.6315770149230957,2.052024589747498,0.189663676416,30.009765625,0.45075669076718955
1,10,0.8,0.13,98.0101318359375,3.868381977081299,4.073494780192716,0.24722852881107737,38.804636149179714,38.371059610921336,0.4877862384425296,97.55926513671875,3.6307854652404785,2.034683059831665,0.18773094113279998,30.0048828125,0.4505296095788548
1,11,0.8,0.13,98.07484436035156,3.8579564094543457,3.97943007656597,0.24474617435816134,38.701846943458804,38.40538913170579,0.48624116368724246,97.52384185791016,3.6306705474853516,2.023122039887777,0.18618475290623998,30.00244140625,0.4503805895123906
1,12,0.8,0.13,98.13887786865234,3.8473100662231445,3.885603711563103,0.2422672433200137,38.59986196702266,38.441648608451395,0.48470973558076064,97.56278991699219,3.630979061126709,2.015414693258518,0.18494780232499197,30.001220703125,0.4502828770493517
1,13,0.8,0.13,98.2120361328125,3.8357927799224854,3.792653094104762,0.23979815395018705,38.498568467152836,38.480928060067114,0.48320142744133154,97.6378173828125,3.631424903869629,2.0102764621723455,0.18395824185999357,30.0006103515625,0.45021891610478754
1,14,0.8,0.13,98.2860336303711,3.824150800704956,3.7010630139853125,0.23734048501723007,38.39757883795983,38.52344899503228,0.4817229328481975,97.72760009765625,3.6319022178649902,2.0068509747815635,0.18316659348799486,30.00030517578125,0.45017715804808245
1,15,1.25,0.13,83.18277740478516,3.6937577724456787,3.6110312413272303,0.23489306280869637,38.29644075997862,38.56872614044482,0.7504318609738556,58.9652099609375,3.6302101612091064,2.0045673165210425,0.18253327479039588,30.000152587890625,0.7033593672035574
1,16,1.25,0.13,82.30121612548828,3.690276861190796,3.531249428530338,0.2324353341647656,38.17402665239172,38.61750910656831,0.7483953163908008,75.42342376708984,3.6530253887176514,2.4973885463004866,0.18202661983231672,30.000076293945312,0.7139022750613568
1,17,1.25,0.13,81.67205047607422,3.686267137527466,3.4588466326328136,0.2297943967492319,38.032204037142776,38.6693155343574,0.7465160400235298,69.67777252197266,3.6454429626464844,2.3315923642003242,0.18162129586585338,30.000038146972656,0.7103256976741122
1,18,1.25,0.13,80.73175048828125,3.6810572147369385,3.378739434145028,0.22704398559816175,37.88301415442575,38.71754672927255,0.7444560325340941,66.013427734375,3.6429073810577393,2.2210615761335495,0.1812970366926827,30.000019073486328,0.7079616568438017
1,19,1.25,0.13,79.59368896484375,3.6783816814422607,3.2909885339684846,0.2241582278195023,37.72428434192712,38.76079126312002,0.7422167193230141,66.03089904785156,3.643000841140747,2.2197786097563506,0.18103762935414616,30.000009536743164,0.7079367144960358
1,20,1.25,0.13,78.3442611694336,3.6754772663116455,3.197349577661856,0.22117299205327026,37.56181560382036,38.801154194198844,0.7398495821661533,65.27363586425781,3.641270637512207,2.193911956471682,0.18083010348331693,30.000004768371582,0.7073870235645437
1,21,1.25,0.13,77.15983581542969,3.6713788509368896,3.1023178022878066,0.2181116284629821,37.39909674934937,38.841388482333386,0.7374647698975908,65.57286071777344,3.641906976699829,2.202026102491538,0.18066408278665355,30.00000238418579,0.7075615429886677
1,22,1.25,0.13,75.88294219970703,3.6672489643096924,3.0077664278796443,0.21501064218688956,37.2388758415351,38.88338109865778,0.735108921906759,65.2861557006836,3.6413044929504395,2.1924129501636296,0.18053126622932283,30.000001192092896,0.7073578966828179
1,23,1.25,0.13,74.4980697631836,3.6629929542541504,2.9147965252631987,0.21189188963261404,37.08066650656957,38.928094953759526,0.7328056821170008,65.47602081298828,3.6417076587677,2.1975558482047894,0.18042501298345826,30.000000596046448,0.7074685024930719
1,24,1.25,0.13,72.85901641845703,3.6573760509490967,2.823792493358856,0.2087630773074401,36.92251840601662,38.97586371306909,0.7305600789576766,65.33623504638672,3.6414153575897217,2.1927442430414743,0.1803400103867666,30.000000298023224,0.70736675993066
1,25,1.25,0.13,71.1822280883789,3.650861978530884,2.735214855780605,0.2056193709760485,36.7620036983629,39.026383335059194,0.7283781664883315,65.43909454345703,3.641633987426758,2.195461799234681,0.18027200830941328,30.000000149011612,0.7074253145134403
1,26,1.25,0.13,69.57771301269531,3.6443769931793213,2.6491587064401334,0.20244870409485322,36.597368686913946,39.07877251469274,0.7262587250195369,65.36634063720703,3.641486644744873,2.1929129483504646,0.18021760664753061,30.000000074505806,0.7073715098653676
1,27,1.25,0.13,68.10050201416016,3.6396472454071045,2.565155554263858,0.19924136537406142,36.42796905594294,39.13175914164673,0.7241896029218438,65.42210388183594,3.6416006088256836,2.1943245746164557,0.18017408531802448,30.000000037252903,0.7074020025373787
1,28,1.25,0.13,66.45098114013672,3.6369612216949463,2.4824696404729076,0.19599274977519746,36.253937580037736,39.18417910247606,0.7221540591330879,65.38226318359375,3.6415255069732666,2.192921857931153,0.1801392682544196,30.00000001862645,0.707372439042569
1,29,1.25,0.13,64.74951171875,3.6355764865875244,2.4007932194732153,0.19279419982015797,36.075618925677546,39.23537051859451,0.7201444452749859,65.41358947753906,3.641587972640991,2.1936864917132164,0.18011141460353566,30.000000009313226,0.707388996107473
1,30,1.25,0.13,62.91993713378906,3.633833646774292,2.3202134783839203,0.19023535985612638,35.893363690555994,39.28528368644288,0.7181570729297745,65.39108276367188,3.641547679901123,2.1928864331148006,0.18008913168282853,30.000000004656613,0.7073721573618104
1,31,1.25,0.13,60.937225341796875,3.631763458251953,2.241005522726312,0.1881882878849011,35.70740764429465,39.33412588667494,0.7161991953319486,65.40898132324219,3.6415834426879883,2.193312126471065,0.1800713053462628,30.000000002328306,0.7073813969480123
1,32,1.25,0.13,58.976280212402344,3.6297032833099365,2.1636410216280715,0.18655063030792088,35.517475811902656,39.38209208182802,0.7142812014281334,65.396240234375,3.6415607929229736,2.1928492586304498,0.18005704427701025,30.000000001164153,0.70737166805385
1,33,1.25,0.13,57.662254333496094,3.628417491912842,2.1090940144187145,0.1852405042463367,35.323203882271535,39.4291353759202,0.7128531222603909,65.40644836425781,3.6415815353393555,2.1930847067627477,0.1800456354216082,30.000000000582077,0.7073767929949802
1,34,1.25,0.13,56.822265625,3.627717971801758,2.07272934294581,0.18419240339706935,35.12493891458685,39.47492934096382,0.7118112911638411,65.39923095703125,3.641569137573242,2.192816460595738,0.18003650833728657,30.00000000029104,0.7073711629801007
1,35,1.25,0.13,56.30340576171875,3.6277453899383545,2.04848622863054,0.1833539227176555,34.923355443420384,39.51890994049907,0.71102443526685,65.4050521850586,3.64158034324646,2.1929462642578357,0.18002920666982924,30.00000000014552,0.7073739979227475
1,36,1.25,0.13,55.931190490722656,3.628796339035034,2.03232415242036,0.1826831381741244,34.71881217510371,39.56075736158751,0.710405669992977,65.4010009765625,3.641573905944824,2.1927906430501456,0.18002336533586338,30.00000000007276,0.7073707368782863
1,37,1.25,0.13,55.7165641784668,3.629995822906494,2.0215494349469068,0.18214651053929953,34.511745591652236,39.60043081938224,0.7098977074398277,65.40428161621094,3.641580820083618,2.1928607440484043,0.18001869226869072,30.00000000003638,0.707372274784165
1,38,1.25,0.13,55.65876388549805,3.6306729316711426,2.0143662899646047,0.18171720843143963,34.30252270354174,39.63801078488303,0.7094626454292383,65.40200805664062,3.6415762901306152,2.192771115335655,0.18001495381495258,30.00000000001819,0.7073704001503168
1,39,1.25,0.13,55.72542190551758,3.6304433345794678,2.0095775266430698,0.1813737667451517,34.09143617632907,39.67353017166628,0.7090753825990526,65.40387725830078,3.64158034324646,2.1928090191104888,0.18001196305196207,30.000000000009095,0.707371236077779
1,40,1.25,0.13,55.84468078613281,3.6301515102386475,2.0063850177620464,0.18109901339612136,33.8785242721211,39.706967520791096,0.7087190297906123,65.4026107788086,3.641577959060669,2.192756824507904,0.18000957044156965,30.000000000004547,0.7073701464353149
1,41,1.25,0.13,55.99027633666992,3.629930019378662,2.004256678508031,0.18087921071689708,33.66365888918544,39.73829248590604,0.7083821552298898,65.4036636352539,3.641580104827881,2.192776705433655,0.18000765635325572,30.000000000002274,0.7073705881475193
1,42,1.25,0.13,56.14862823486328,3.629958391189575,2.0028377856720208,0.18070336857351765,33.446685386909074,39.76748300748568,0.708057068390922,65.40293884277344,3.6415791511535645,2.192746420972697,0.18000612508260458,30.000000000001137,0.7073699572635516
1,43,1.25,0.13,56.31973648071289,3.629990339279175,2.0018918571146807,0.18056269485881413,33.227546263529874,39.79450259952341,0.7077387224440259,65.40355682373047,3.64158034324646,2.192757410124376,0.18000490006608366,30.00000000000057,0.7073702029954002
1,44,1.25,0.13,56.508544921875,3.6298727989196777,2.0012612380764536,0.1804501558870513,33.00627890138279,39.819301403163706,0.7074238694608879,65.40313720703125,3.6415796279907227,2.192739304910391,0.18000392005286692,30.000000000000284,0.7073698264383471
1,45,1.25,0.13,56.70219421386719,3.629770278930664,2.0008408253843024,0.18036012470964102,32.783002369582405,39.84184381706088,0.7071104827658243,65.40351104736328,3.64158034324646,2.192745341864089,0.18000313604229354,30.000000000000142,0.7073699624805334
1,46,1.25,0.13,56.899105072021484,3.629678964614868,2.0005605502562016,0.18028809976771282,32.557862424529965,39.862136532776574,0.7067973095919052,65.40324401855469,3.6415796279907227,2.192734107710825,0.18000250883383484,30.00000000000007,0.7073697290101721
1,47,1.25,0.13,57.08890151977539,3.6294822692871094,2.000373700170801,0.18023047981417026,32.331006711002374,39.880240402352456,0.7064835896569724,65.40348815917969,3.64158034324646,2.192738011504482,0.18000200706706787,30.000000000000036,0.707369816932561
1,48,1.25,0.13,57.265560150146484,3.6290457248687744,2.0002491334472006,0.1801843838513362,32.10256915894706,39.896250962755005,0.7061688692193061,65.40330505371094,3.64158034324646,2.1927306958206962,0.1800016056536543,30.000000000000018,0.7073696648303344
1,49,1.25,0.13,57.4493522644043,3.6287615299224854,2.0001660889648005,0.18014750708106897,31.872650754551387,39.91027447989465,0.7058528653226024,65.40347290039062,3.64158034324646,2.192733549817964,0.18000128452292344,30.000000000000007,0.7073697286775275
1,50,1.25,0.13,57.644412994384766,3.6286065578460693,2.000110725976534,0.18011800566485517,31.641610593957353,39.922519347432115,0.7055357913749406,65.40336608886719,3.641580104827881,2.1927286368903616,0.18000102761833875,30.000000000000004,0.7073696264120525
1,51,1.25,0.13,57.83268737792969,3.6284282207489014,2.000073817317689,0.18009440453188413,31.40994299363973,39.93333633182597,0.7052181409247318,65.40345764160156,3.641580820083618,2.1927300409672723,0.180000822094671,30.0,0.7073696582715379
1,52,1.25,0.13,58.02997970581055,3.628286600112915,2.000049211545126,0.1800755236255073,31.17812670382054,39.94313695724608,0.7049004493148827,65.40339660644531,3.64158034324646,2.1927272131839106,0.1800006576757368,30.0,0.7073695995657768
1,53,1.25,0.13,58.2091178894043,3.628297805786133,2.000032807696751,0.18006041890040583,30.9464939990376,39.95236807974653,0.7045830931375036,65.40343475341797,3.641580820083618,2.192727972851774,0.18000052614058945,30.0,0.7073696169951256
1,54,1.25,0.13,58.3662109375,3.6284382343292236,2.0000218717978338,0.18004833512032467,30.715215049186575,39.96145033095946,0.7042662545575793,65.4034194946289,3.641580820083618,2.192726800830219,0.18000042091247156,30.0,0.7073695930135496
1,55,1.25,0.13,58.52790832519531,3.628772258758545,2.0000145811985557,0.18003866809625974,30.48434139297616,39.970708256272935,0.7039499713352407,65.40343475341797,3.64158034324646,2.192726782421969,0.18000033672997726,30.0,0.707369593415836
1,56,1.25,0.13,58.689857482910156,3.629136800765991,2.0000097207990373,0.1800309344770078,30.25392077897346,39.98031927237452,0.7036342878466086,65.40343475341797,3.64158034324646,2.19272615979824,0.1800002693839818,30.0,0.7073695807839047
1,57,1.25,0.13,58.773197174072266,3.6293869018554688,2.0000064805326914,0.18002474758160625,30.12696038948673,39.990326324679266,0.7034603310268327,65.40343475341797,3.641580820083618,2.192725846441014,0.18000021550718545,30.0,0.7073695746150463
1,58,1.25,0.13,58.815181732177734,3.629523992538452,2.0000043203551274,0.180019798065285,30.063480194743363,40.00068855300755,0.7033733522995868,65.40343475341797,3.641580820083618,2.192725637536197,0.18000017240574837,30.0,0.7073695705702756
1,59,1.25,0.13,58.83684158325195,3.6296026706695557,2.0000028802367518,0.18001583845222802,30.03174009737168,40.01136656826985,0.7033298675908626,65.40343475341797,3.64158034324646,2.1927254982663187,0.18000013792459868,30.0,0.7073695679280031
2,0,1.0,0.08,95.33704376220703,4.196864604949951,4.971855516235034,0.26904540503025054,39.90828196518123,38.02341793850064,0.6289489510052791,97.41424560546875,3.983583450317383,4.0,0.252,35.0,0.6037636016719469
2,1,1.0,0.08,95.455078125,4.178895473480225,4.902102268404431,0.2675538553714752,39.79397387243807,38.05112869665027,0.6273791149636316,98.07654571533203,3.8587241172790527,3.3333333333333335,0.2376,32.5,0.5884355303098516
2,2,1.0,0.08,95.5914535522461,4.15891170501709,4.805192623977308,0.2655993427371979,39.661400308832526,38.07747321622446,0.6252410208905909,98.71186828613281,3.797792911529541,2.888888888888889,0.22608,31.25,0.5790654047602446
2,3,1.0,0.08,95.76724243164062,4.134830474853516,4.69150852954682,0.26338901686954497,39.52854823321104,38.104292934411205,0.6227769542907512,99.0768051147461,3.750613212585449,2.5925925925925926,0.216864,30.625,0.57320801276404
2,4,1.0,0.08,95.9833755493164,4.110426425933838,4.5730500058750065,0.2609885033630371,39.398985244333744,38.13483423550497,0.6202405400965947,99.29813385009766,3.722395181655884,2.3950617283950617,0.2094912,30.3125,0.5694872619705755
2,5,1.0,0.08,96.21134185791016,4.0860819816589355,4.4537509049918755,0.25847469660942074,39.27614586427808,38.16939622906648,0.6177159726173094,99.27608489990234,3.7077836990356445,2.263374485596708,0.20359296,30.15625,0.5670964086287305
2,6,1.0,0.08,96.42999267578125,4.061406135559082,4.335618965555993,0.25587082793954463,39.15766030550003,38.20639089237193,0.6152401389475936,99.43037414550781,3.6982460021972656,2.1755829903978054,0.198874368,30.078125,0.565547519617762
2,7,1.0,0.08,96.64800262451172,4.0368266105651855,4.218257474554755,0.2531970637293136,39.0414475928992,38.2438130170799,0.6128016787184334,99.66952514648438,3.6911373138427734,2.11705532693187,0.1950994944,30.0390625,0.5645383883741734
2,8,1.0,0.08,96.87609100341797,4.013453006744385,4.101243686446334,0.2504631102682333,38.925527120009065,38.28048048751032,0.6103892552650694,99.85173034667969,3.6875290870666504,2.078036884621247,0.19207959551999998,30.01953125,0.5638784405005812
2,9,1.0,0.08,97.11433410644531,3.9898455142974854,3.984051108703868,0.24768286483297197,38.80926625337452,38.31632126908917,0.6079913833079249,99.9866943359375,3.6858444213867188,2.052024589747498,0.189663676416,30.009765625,0.563445863458987
2,10,1.0,0.08,97.34137725830078,3.9646244049072266,3.8665786338156174,0.24487136758811828,38.69271270232275,38.352174372371614,0.6056059060790823,100.0,3.6851651668548584,2.034683059831665,0.18773094113279998,30.0048828125,0.5631620119735684
2,11,1.0,0.08,97.5079345703125,3.9428811073303223,3.7490507158839512,0.24204476553159995,38.57626672950573,38.38930124402257,0.6032373634030473,100.0,3.684873580932617,2.023122039887777,0.18618475290623998,30.00244140625,0.5629757368904882
2,12,1.0,0.08,97.65074920654297,3.920731782913208,3.6320279302334657,0.2392162614699844,38.460141546675004,38.42886579549564,0.6008963530156854,100.0,3.6849701404571533,2.015414693258518,0.18494780232499197,30.001220703125,0.5628535963116895
2,13,1.0,0.08,97.72417449951172,3.900770902633667,3.5161074167911126,0.23639445874187495,38.344304904167075,38.47154269344641,0.5985936002067622,100.0,3.6852145195007324,2.0102764621723455,0.18395824185999357,30.0006103515625,0.5627736451309844
2,14,1.0,0.08,97.73414611816406,3.8831679821014404,3.4017485722186773,0.23358396651818866,38.22848682189942,38.51738684013604,0.5963366936480218,100.0,3.6854586601257324,2.0068509747815635,0.18316659348799486,30.00030517578125,0.5627214475601031
2,15,1.0,0.16,84.57971954345703,3.6827476024627686,3.2891880973698435,0.23078582038461776,38.11231153966219,38.56598032261799,0.5941287704353575,65.87371063232422,3.632021903991699,2.0045673165210425,0.18253327479039588,30.000152587890625,0.562687493762846
2,16,1.0,0.16,83.02960205078125,3.683755397796631,3.2013650258065423,0.22807691443943667,37.98284446795151,38.615575155096096,0.592376881739522,72.95178985595703,3.6306686401367188,2.2528859701082666,0.18202661983231672,30.000076293945312,0.5669077937816303
2,17,1.0,0.16,82.09442138671875,3.684803009033203,3.1338953544071093,0.22525793755240192,37.84045996597342,38.668057823094045,0.5909947536393353,69.9419174194336,3.6303255558013916,2.1685906467388443,0.18162129586585338,30.000038146972656,0.5654723462395163
2,18,1.0,0.16,81.26165008544922,3.685229539871216,3.0678110067212434,0.2224336611464576,37.70016036688503,38.71640841756468,0.5896461868844063,67.99565887451172,3.6312294006347656,2.112393764492563,0.1812970366926827,30.000019073486328,0.5645198174647139
2,19,1.0,0.16,80.40176391601562,3.6850268840789795,2.9986407626694342,0.2195625199365581,37.55555874082802,38.760238249906,0.5882424050942001,67.55082702636719,3.6319077014923096,2.0830199966408753,0.18103762935414616,30.000009536743164,0.5640238824652002
2,20,1.0,0.16,79.42959594726562,3.684763193130493,2.925208597772711,0.2166746803214522,37.41033800585001,38.80289579180207,0.5867667548885772,67.5211410522461,3.6322505474090576,2.065290156045089,0.18083010348331693,30.000004768371582,0.563725340456497
2,21,1.0,0.16,78.23466491699219,3.6832640171051025,2.851637381037668,0.21376851214689985,37.26552374980315,38.84812152861022,0.5852958843242991,67.4750747680664,3.63252854347229,2.051494249130971,0.18066408278665355,30.00000238418579,0.5634932924258742
2,22,1.0,0.16,76.88065338134766,3.680433511734009,2.7802476236608924,0.21086102076350033,37.122875481578035,38.89740259661591,0.5838733050321878,67.46851348876953,3.632709503173828,2.043634614166741,0.18053126622932283,30.000001192092896,0.5633614630173479
2,23,1.0,0.16,75.4236068725586,3.677572727203369,2.7123174143342377,0.20795410624526642,36.98144707908597,38.950236865402694,0.5825201926360585,67.47588348388672,3.632842540740967,2.038306458272619,0.18042501298345826,30.000000596046448,0.5632722499059764
2,24,1.0,0.16,74.08880615234375,3.6747093200683594,2.6474522530624074,0.20504558887189786,36.83959004043473,39.005153621725874,0.5812268260098461,67.48644256591797,3.632943630218506,2.034464945977319,0.1803400103867666,30.000000298023224,0.5632080087904819
2,25,1.0,0.16,72.86630249023438,3.6707608699798584,2.5847317949906854,0.20212547141199239,36.695530784981614,39.06065649587578,0.5799742584552892,67.4971694946289,3.6330206394195557,2.031601101680192,0.18027200830941328,30.000000149011612,0.5631601611152607
2,26,1.0,0.16,71.89237213134766,3.6691997051239014,2.5230921215713598,0.19918636309413057,36.54836601005602,39.1156887011736,0.5787422653321592,67.50680541992188,3.6330814361572266,2.0294047017386174,0.18021760664753061,30.000000074505806,0.5631234870013335
2,27,1.0,0.16,70.99151611328125,3.6675045490264893,2.461733066623448,0.19622370653198512,36.3980991783818,39.16981507408037,0.5775165693754587,67.51499938964844,3.6331288814544678,2.0276907504592083,0.18017408531802448,30.000000037252903,0.5630948797804296
2,28,1.0,0.16,70.1568374633789,3.6652114391326904,2.400283126879095,0.19324061069167733,36.24535730198425,39.223092960812444,0.5762912649911031,67.52173614501953,3.633167028427124,2.02633922345067,0.1801392682544196,30.00000001862645,0.5630723274622532
2,29,1.0,0.16,69.05919647216797,3.6620256900787354,2.338848906116922,0.19059248855334188,36.09077510468862,39.27594393386807,0.5750661651106307,67.52726745605469,3.63319730758667,2.025268273397452,0.18011141460353566,30.000000009313226,0.5630544602492631
